DS,rep,clf,optimal,biased,method,augmented_acc,added_points
Car,1,DT,0.9682080924855492,0.8034682080924855,GMM,0.8063583815028902,0
Car,1,DT,0.9682080924855492,0.8034682080924855,Imitate,0.8092485549132948,717
Car,1,DT,0.9682080924855492,0.8034682080924855,Mimic (ours),0.8034682080924855,0
Car,1,SVM,0.9248554913294798,0.8265895953757225,GMM,0.8265895953757225,0
Car,1,SVM,0.9248554913294798,0.8265895953757225,Imitate,0.7543352601156069,717
Car,1,SVM,0.9248554913294798,0.8265895953757225,Mimic (ours),0.8265895953757225,0
Car,1,RF,0.9710982658959537,0.8005780346820809,GMM,0.8034682080924855,0
Car,1,RF,0.9710982658959537,0.8005780346820809,Imitate,0.8034682080924855,717
Car,1,RF,0.9710982658959537,0.8005780346820809,Mimic (ours),0.7976878612716763,0
Car,2,DT,0.9624277456647399,0.8179190751445087,GMM,0.8179190751445087,0
Car,2,DT,0.9624277456647399,0.8179190751445087,Imitate,0.8034682080924855,735
Car,2,DT,0.9624277456647399,0.8179190751445087,Mimic (ours),0.8034682080924855,0
Car,2,SVM,0.9479768786127167,0.8497109826589595,GMM,0.8497109826589595,0
Car,2,SVM,0.9479768786127167,0.8497109826589595,Imitate,0.7774566473988439,735
Car,2,SVM,0.9479768786127167,0.8497109826589595,Mimic (ours),0.8497109826589595,0
Car,2,RF,0.9739884393063584,0.815028901734104,GMM,0.8179190751445087,0
Car,2,RF,0.9739884393063584,0.815028901734104,Imitate,0.8092485549132948,735
Car,2,RF,0.9739884393063584,0.815028901734104,Mimic (ours),0.8179190751445087,0
Car,3,DT,0.9797687861271677,0.8208092485549133,GMM,0.8208092485549133,0
Car,3,DT,0.9797687861271677,0.8208092485549133,Imitate,0.7861271676300579,888
Car,3,DT,0.9797687861271677,0.8208092485549133,Mimic (ours),0.8121387283236994,229
Car,3,SVM,0.9508670520231214,0.861271676300578,GMM,0.861271676300578,0
Car,3,SVM,0.9508670520231214,0.861271676300578,Imitate,0.7745664739884393,888
Car,3,SVM,0.9508670520231214,0.861271676300578,Mimic (ours),0.7543352601156069,229
Car,3,RF,0.9826589595375722,0.8265895953757225,GMM,0.8294797687861272,0
Car,3,RF,0.9826589595375722,0.8265895953757225,Imitate,0.8294797687861272,888
Car,3,RF,0.9826589595375722,0.8265895953757225,Mimic (ours),0.815028901734104,229
Car,4,DT,0.976878612716763,0.846820809248555,GMM,0.846820809248555,0
Car,4,DT,0.976878612716763,0.846820809248555,Imitate,0.846820809248555,872
Car,4,DT,0.976878612716763,0.846820809248555,Mimic (ours),0.8410404624277457,33
Car,4,SVM,0.9508670520231214,0.8670520231213873,GMM,0.8670520231213873,0
Car,4,SVM,0.9508670520231214,0.8670520231213873,Imitate,0.7774566473988439,872
Car,4,SVM,0.9508670520231214,0.8670520231213873,Mimic (ours),0.8641618497109826,33
Car,4,RF,0.9942196531791907,0.8554913294797688,GMM,0.8497109826589595,0
Car,4,RF,0.9942196531791907,0.8554913294797688,Imitate,0.846820809248555,872
Car,4,RF,0.9942196531791907,0.8554913294797688,Mimic (ours),0.8554913294797688,33
Car,5,DT,0.9826589595375722,0.8179190751445087,GMM,0.8179190751445087,0
Car,5,DT,0.9826589595375722,0.8179190751445087,Imitate,0.7947976878612717,938
Car,5,DT,0.9826589595375722,0.8179190751445087,Mimic (ours),0.8179190751445087,0
Car,5,SVM,0.9335260115606936,0.8236994219653179,GMM,0.8236994219653179,0
Car,5,SVM,0.9335260115606936,0.8236994219653179,Imitate,0.7398843930635838,938
Car,5,SVM,0.9335260115606936,0.8236994219653179,Mimic (ours),0.8236994219653179,0
Car,5,RF,0.9942196531791907,0.8265895953757225,GMM,0.8323699421965318,0
Car,5,RF,0.9942196531791907,0.8265895953757225,Imitate,0.8034682080924855,938
Car,5,RF,0.9942196531791907,0.8265895953757225,Mimic (ours),0.8236994219653179,0
Car,6,DT,0.9739884393063584,0.815028901734104,GMM,0.8121387283236994,0
Car,6,DT,0.9739884393063584,0.815028901734104,Imitate,0.7832369942196532,864
Car,6,DT,0.9739884393063584,0.815028901734104,Mimic (ours),0.815028901734104,434
Car,6,SVM,0.9450867052023122,0.8497109826589595,GMM,0.8497109826589595,0
Car,6,SVM,0.9450867052023122,0.8497109826589595,Imitate,0.7514450867052023,864
Car,6,SVM,0.9450867052023122,0.8497109826589595,Mimic (ours),0.8901734104046243,434
Car,6,RF,0.9797687861271677,0.8179190751445087,GMM,0.8121387283236994,0
Car,6,RF,0.9797687861271677,0.8179190751445087,Imitate,0.8236994219653179,864
Car,6,RF,0.9797687861271677,0.8179190751445087,Mimic (ours),0.8179190751445087,434
Car,7,DT,0.9826589595375722,0.8092485549132948,GMM,0.8092485549132948,0
Car,7,DT,0.9826589595375722,0.8092485549132948,Imitate,0.8034682080924855,852
Car,7,DT,0.9826589595375722,0.8092485549132948,Mimic (ours),0.8092485549132948,0
Car,7,SVM,0.9566473988439307,0.8410404624277457,GMM,0.8410404624277457,0
Car,7,SVM,0.9566473988439307,0.8410404624277457,Imitate,0.7947976878612717,852
Car,7,SVM,0.9566473988439307,0.8410404624277457,Mimic (ours),0.8410404624277457,0
Car,7,RF,0.9826589595375722,0.815028901734104,GMM,0.815028901734104,0
Car,7,RF,0.9826589595375722,0.815028901734104,Imitate,0.8092485549132948,852
Car,7,RF,0.9826589595375722,0.815028901734104,Mimic (ours),0.815028901734104,0
Shuttle,0,DT,0.9991379310344828,0.8284482758620689,GMM,0.8284482758620689,0
Shuttle,0,DT,0.9991379310344828,0.8284482758620689,Imitate,0.3568965517241379,1242
Shuttle,0,DT,0.9991379310344828,0.8284482758620689,Mimic (ours),0.31982758620689655,683
Shuttle,0,SVM,0.9879310344827587,0.45517241379310347,GMM,0.45517241379310347,0
Shuttle,0,SVM,0.9879310344827587,0.45517241379310347,Imitate,0.3767241379310345,1242
Shuttle,0,SVM,0.9879310344827587,0.45517241379310347,Mimic (ours),0.41379310344827586,683
Shuttle,0,RF,0.9991379310344828,0.7577586206896552,GMM,0.743103448275862,0
Shuttle,0,RF,0.9991379310344828,0.7577586206896552,Imitate,0.3310344827586207,1242
Shuttle,0,RF,0.9991379310344828,0.7577586206896552,Mimic (ours),0.31982758620689655,683
Shuttle,1,DT,0.9982758620689656,0.821551724137931,GMM,0.821551724137931,0
Shuttle,1,DT,0.9982758620689656,0.821551724137931,Imitate,0.31810344827586207,612
Shuttle,1,DT,0.9982758620689656,0.821551724137931,Mimic (ours),0.4068965517241379,816
Shuttle,1,SVM,0.9818965517241379,0.45517241379310347,GMM,0.45517241379310347,0
Shuttle,1,SVM,0.9818965517241379,0.45517241379310347,Imitate,0.41120689655172415,612
Shuttle,1,SVM,0.9818965517241379,0.45517241379310347,Mimic (ours),0.3931034482758621,816
Shuttle,1,RF,0.9982758620689656,0.821551724137931,GMM,0.821551724137931,0
Shuttle,1,RF,0.9982758620689656,0.821551724137931,Imitate,0.3258620689655172,612
Shuttle,1,RF,0.9982758620689656,0.821551724137931,Mimic (ours),0.6370689655172413,816
Shuttle,2,DT,0.9991379310344828,0.8146551724137931,GMM,0.8146551724137931,0
Shuttle,2,DT,0.9991379310344828,0.8146551724137931,Imitate,0.32413793103448274,853
Shuttle,2,DT,0.9991379310344828,0.8146551724137931,Mimic (ours),0.8146551724137931,0
Shuttle,2,SVM,0.9818965517241379,0.4698275862068966,GMM,0.4698275862068966,0
Shuttle,2,SVM,0.9818965517241379,0.4698275862068966,Imitate,0.3758620689655172,853
Shuttle,2,SVM,0.9818965517241379,0.4698275862068966,Mimic (ours),0.4698275862068966,0
Shuttle,2,RF,0.9982758620689656,0.8146551724137931,GMM,0.3775862068965517,0
Shuttle,2,RF,0.9982758620689656,0.8146551724137931,Imitate,0.32155172413793104,853
Shuttle,2,RF,0.9982758620689656,0.8146551724137931,Mimic (ours),0.7370689655172413,0
Shuttle,3,DT,0.996551724137931,0.8224137931034483,GMM,0.8224137931034483,0
Shuttle,3,DT,0.996551724137931,0.8224137931034483,Imitate,0.3422413793103448,674
Shuttle,3,DT,0.996551724137931,0.8224137931034483,Mimic (ours),0.3887931034482759,809
Shuttle,3,SVM,0.9844827586206897,0.46206896551724136,GMM,0.46206896551724136,0
Shuttle,3,SVM,0.9844827586206897,0.46206896551724136,Imitate,0.3853448275862069,674
Shuttle,3,SVM,0.9844827586206897,0.46206896551724136,Mimic (ours),0.41724137931034483,809
Shuttle,3,RF,0.9991379310344828,0.8224137931034483,GMM,0.7370689655172413,0
Shuttle,3,RF,0.9991379310344828,0.8224137931034483,Imitate,0.3103448275862069,674
Shuttle,3,RF,0.9991379310344828,0.8224137931034483,Mimic (ours),0.33448275862068966,809
Shuttle,4,DT,0.9974137931034482,0.8232758620689655,GMM,0.8232758620689655,0
Shuttle,4,DT,0.9974137931034482,0.8232758620689655,Imitate,0.33793103448275863,824
Shuttle,4,DT,0.9974137931034482,0.8232758620689655,Mimic (ours),0.8181034482758621,706
Shuttle,4,SVM,0.9844827586206897,0.46293103448275863,GMM,0.46293103448275863,0
Shuttle,4,SVM,0.9844827586206897,0.46293103448275863,Imitate,0.41982758620689653,824
Shuttle,4,SVM,0.9844827586206897,0.46293103448275863,Mimic (ours),0.4077586206896552,706
Shuttle,4,RF,0.9974137931034482,0.8232758620689655,GMM,0.7793103448275862,0
