seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
1948,1,2,100,DT,0.774,0.724,GMM,0.7286666666666667,287
1948,1,2,100,DT,0.774,0.724,Imitate,0.702,340
1948,1,2,100,DT,0.774,0.724,Mimic (ours),0.7726666666666666,267
1948,1,2,100,SVM,0.8446666666666667,0.7346666666666667,GMM,0.734,287
1948,1,2,100,SVM,0.8446666666666667,0.7346666666666667,Imitate,0.74,340
1948,1,2,100,SVM,0.8446666666666667,0.7346666666666667,Mimic (ours),0.7366666666666667,267
1948,1,2,100,RF,0.8293333333333334,0.7173333333333334,GMM,0.7306666666666667,287
1948,1,2,100,RF,0.8293333333333334,0.7173333333333334,Imitate,0.718,340
1948,1,2,100,RF,0.8293333333333334,0.7173333333333334,Mimic (ours),0.7786666666666666,267
6375,1,2,100,DT,0.8673333333333333,0.6526666666666666,GMM,0.684,218
6375,1,2,100,DT,0.8673333333333333,0.6526666666666666,Imitate,0.874,737
6375,1,2,100,DT,0.8673333333333333,0.6526666666666666,Mimic (ours),0.7046666666666667,270
6375,1,2,100,SVM,0.8846666666666667,0.7286666666666667,GMM,0.734,218
6375,1,2,100,SVM,0.8846666666666667,0.7286666666666667,Imitate,0.846,737
6375,1,2,100,SVM,0.8846666666666667,0.7286666666666667,Mimic (ours),0.7353333333333333,270
6375,1,2,100,RF,0.9053333333333333,0.6546666666666666,GMM,0.7286666666666667,218
6375,1,2,100,RF,0.9053333333333333,0.6546666666666666,Imitate,0.8893333333333333,737
6375,1,2,100,RF,0.9053333333333333,0.6546666666666666,Mimic (ours),0.7113333333333334,270
9972,1,3,100,DT,0.9673333333333334,0.824,GMM,0.832,480
9972,1,3,100,DT,0.9673333333333334,0.824,Imitate,0.964,849
9972,1,3,100,DT,0.9673333333333334,0.824,Mimic (ours),0.8633333333333333,254
9972,1,3,100,SVM,0.9813333333333333,0.7766666666666666,GMM,0.8433333333333334,480
9972,1,3,100,SVM,0.9813333333333333,0.7766666666666666,Imitate,0.9713333333333334,849
9972,1,3,100,SVM,0.9813333333333333,0.7766666666666666,Mimic (ours),0.8526666666666667,254
9972,1,3,100,RF,0.9846666666666667,0.7893333333333333,GMM,0.8433333333333334,480
9972,1,3,100,RF,0.9846666666666667,0.7893333333333333,Imitate,0.976,849
9972,1,3,100,RF,0.9846666666666667,0.7893333333333333,Mimic (ours),0.8626666666666667,254
4279,1,3,100,DT,0.8233333333333334,0.5893333333333334,GMM,0.6266666666666667,314
4279,1,3,100,DT,0.8233333333333334,0.5893333333333334,Imitate,0.78,498
4279,1,3,100,DT,0.8233333333333334,0.5893333333333334,Mimic (ours),0.6913333333333334,239
4279,1,3,100,SVM,0.8433333333333334,0.6426666666666667,GMM,0.686,314
4279,1,3,100,SVM,0.8433333333333334,0.6426666666666667,Imitate,0.748,498
4279,1,3,100,SVM,0.8433333333333334,0.6426666666666667,Mimic (ours),0.738,239
4279,1,3,100,RF,0.8693333333333333,0.592,GMM,0.6106666666666667,314
4279,1,3,100,RF,0.8693333333333333,0.592,Imitate,0.7166666666666667,498
4279,1,3,100,RF,0.8693333333333333,0.592,Mimic (ours),0.66,239
8076,1,3,100,DT,0.978,0.7426666666666667,GMM,0.7433333333333333,231
8076,1,3,100,DT,0.978,0.7426666666666667,Imitate,0.9566666666666667,437
8076,1,3,100,DT,0.978,0.7426666666666667,Mimic (ours),0.9046666666666666,454
8076,1,3,100,SVM,0.99,0.8373333333333334,GMM,0.8233333333333334,231
8076,1,3,100,SVM,0.99,0.8373333333333334,Imitate,0.9826666666666667,437
8076,1,3,100,SVM,0.99,0.8373333333333334,Mimic (ours),0.992,454
8076,1,3,100,RF,0.988,0.7426666666666667,GMM,0.7473333333333333,231
8076,1,3,100,RF,0.988,0.7426666666666667,Imitate,0.954,437
8076,1,3,100,RF,0.988,0.7426666666666667,Mimic (ours),0.9093333333333333,454
8449,1,3,100,DT,0.988,0.7073333333333334,GMM,0.9033333333333333,392
8449,1,3,100,DT,0.988,0.7073333333333334,Imitate,0.9253333333333333,512
8449,1,3,100,DT,0.988,0.7073333333333334,Mimic (ours),0.894,413
8449,1,3,100,SVM,0.9746666666666667,0.846,GMM,0.894,392
8449,1,3,100,SVM,0.9746666666666667,0.846,Imitate,0.9106666666666666,512
8449,1,3,100,SVM,0.9746666666666667,0.846,Mimic (ours),0.862,413
8449,1,3,100,RF,0.9913333333333333,0.8806666666666667,GMM,0.8966666666666666,392
8449,1,3,100,RF,0.9913333333333333,0.8806666666666667,Imitate,0.912,512
8449,1,3,100,RF,0.9913333333333333,0.8806666666666667,Mimic (ours),0.876,413
5602,1,3,100,DT,0.9986666666666667,0.992,GMM,1.0,287
5602,1,3,100,DT,0.9986666666666667,0.992,Imitate,0.9973333333333333,318
5602,1,3,100,DT,0.9986666666666667,0.992,Mimic (ours),0.9946666666666667,348
5602,1,3,100,SVM,1.0,0.95,GMM,1.0,287
5602,1,3,100,SVM,1.0,0.95,Imitate,1.0,318
5602,1,3,100,SVM,1.0,0.95,Mimic (ours),0.9866666666666667,348
5602,1,3,100,RF,1.0,0.9913333333333333,GMM,0.9933333333333333,287
5602,1,3,100,RF,1.0,0.9913333333333333,Imitate,0.9946666666666667,318
5602,1,3,100,RF,1.0,0.9913333333333333,Mimic (ours),0.9953333333333333,348
4810,1,3,100,DT,0.9933333333333333,0.792,GMM,0.8526666666666667,341
4810,1,3,100,DT,0.9933333333333333,0.792,Imitate,0.8853333333333333,268
4810,1,3,100,DT,0.9933333333333333,0.792,Mimic (ours),0.8586666666666667,458
4810,1,3,100,SVM,0.9886666666666667,0.8373333333333334,GMM,0.864,341
4810,1,3,100,SVM,0.9886666666666667,0.8373333333333334,Imitate,0.9066666666666666,268
